                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
 NHS WEST YORKSHIRE INTEGRATED CARE BOARD                                      | QWO      | THE RIDGE MEDICAL PRACT.                 | B83055        | BD7 3JX  |       58360 |         512980.61 |              8.79 |                  1283.38 |                154723.26 |                   384883.07 |              128097.54
 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD                    | QT6      | CARN TO COAST HEALTH CENTRES             | L82041        | TR15 3DU |       62394 |         508735.65 |              8.15 |                   124.39 |                153897.89 |                   384558.14 |              124177.51
 NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD                        | QE1      | ISSA MEDICAL CENTRE - PATEL              | P81196        | PR1 6YA  |       64467 |         494982.13 |              7.68 |                  8686.99 |                155374.33 |                   375405.34 |              119576.79
 NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD                      | QT1      | RIVERSIDE HEALTH CENTRE                  | C84094        | DN22 6FB |       60074 |         434843.20 |              7.24 |                 11655.40 |                134585.45 |                   318980.54 |              115862.66
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | YORK MEDICAL GROUP                       | B82083        | YO24 4HD |       64376 |         568521.21 |              8.83 |                  3215.96 |                183626.96 |                   454243.46 |              114277.75
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | COASTAL MEDICAL PARTNERSHIP              | J82007        | BH25 5JP |       80133 |         668228.61 |              8.34 |                 15781.71 |                231127.75 |                   554146.82 |              114081.79
 NHS LINCOLNSHIRE INTEGRATED CARE BOARD                                        | QJM      | BEACON MEDICAL PRACTICE                  | C83019        | PE25 2RN |       89284 |         610169.96 |              6.83 |                  2322.82 |                200958.17 |                   498911.19 |              111258.77
 NHS GREATER MANCHESTER INTEGRATED CARE BOARD                                  | QOP      | PENNYGATE MEDICAL CENTRE                 | P92016        | WN2 2QG  |       38670 |         416932.84 |             10.78 |                  3862.15 |                125093.94 |                   306941.63 |              109991.21
 NHS SOMERSET INTEGRATED CARE BOARD                                            | QSL      | SYMPHONY NORTH HEALTHCARE                | L85016        | TA8 1EU  |       56491 |         480494.74 |              8.51 |                 58140.77 |                184006.72 |                   372805.65 |              107689.09
 NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD                        | QM7      | ROTHSCHILD HOUSE GROUP                   | E82001        | HP23 6PU |       70683 |         506510.16 |              7.17 |                  8992.26 |                165430.27 |                   400087.29 |              106422.87
 NHS BLACK COUNTRY INTEGRATED CARE BOARD                                       | QUA      | LION HEALTH                              | M87011        | DY8 3SS  |       38553 |         434302.90 |             11.27 |                  6662.28 |                135303.21 |                   328264.61 |              106038.29
 NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD                             | QYG      | MARINE LAKE MEDICAL PRACTICE             | N85002        | CH48 5AA |       39942 |         432635.23 |             10.83 |                  1389.70 |                132873.32 |                   330098.75 |              102536.48
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | THE MEDICAL GROUP                        | A83022        | DH7 8NH  |       69507 |         502766.69 |              7.23 |                  4693.66 |                163218.15 |                   401004.89 |              101761.80
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | HAXBY GROUP PRACTICE                     | B82026        | YO32 2LL |       67385 |         554795.75 |              8.23 |                  3215.96 |                183626.96 |                   454243.46 |              100552.29
 NHS SOUTH WEST LONDON INTEGRATED CARE BOARD                                   | QWE      | NELSON MEDICAL PRACTICE                  | H85020        | SW20 8DA |       49736 |         368849.65 |              7.42 |                 26571.21 |                124364.33 |                   271054.01 |               97795.64
